total_votaciones_camara,polaridad_promedio,alineamiento_promedio,camara
1,0.0556,0.7453,Cámara de Diputados
1,0.1579,0.6803,Cámara de Diputados
1,0,0.9138,Cámara de Diputados
2,0.4416,0.7461,Cámara de Diputados
1,0.729,0.8422,Cámara de Diputados
1,0,0.6554,Cámara de Diputados
2,0,0.9779,Cámara de Diputados
2,0,0.8979,Cámara de Diputados
5,0.4942,0.9624,Cámara de Diputados
39,0.4233,0.9055,Cámara de Diputados
1,0,1,Cámara de Diputados
8,0,0.9842,Cámara de Diputados
3,0.3137,0.9317,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0545,0.9332,Cámara de Diputados
1,0,0.7494,Cámara de Diputados
1,0.0253,0.8709,Cámara de Diputados
2,0,0.9184,Cámara de Diputados
1,0,1,Cámara de Diputados
5,0.0051,0.8951,Cámara de Diputados
2,0,0.8122,Cámara de Diputados
1,0,0.7609,Cámara de Diputados
1,0.0256,0.8282,Cámara de Diputados
1,0,0.8063,Cámara de Diputados
1,0,0.7247,Cámara de Diputados
2,0.3718,0.6906,Cámara de Diputados
2,0,0.9172,Cámara de Diputados
2,0.0323,0.9509,Cámara de Diputados
6,0.1155,0.8793,Cámara de Diputados
3,0,0.8332,Cámara de Diputados
1,0,0.7287,Cámara de Diputados
1,0,0.5522,Cámara de Diputados
2,0,0.9599,Cámara de Diputados
2,0.02,0.8937,Cámara de Diputados
3,0,0.9882,Cámara de Diputados
1,0,0.8752,Cámara de Diputados
2,0,0.8293,Cámara de Diputados
1,0,0.7492,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,0.8146,Cámara de Diputados
1,0,0.8106,Cámara de Diputados
3,0.0299,0.7973,Cámara de Diputados
97,0.3657,0.8183,Cámara de Diputados
3,0.017,0.796,Cámara de Diputados
7,0.2008,0.8691,Cámara de Diputados
3,0,0.5816,Cámara de Diputados
1,0,0.5981,Cámara de Diputados
1,0,0.8996,Cámara de Diputados
56,0.2237,0.8009,Cámara de Diputados
17,0.9447,0.8433,Cámara de Diputados
7,0.0124,0.8656,Cámara de Diputados
19,0.0305,0.8467,Cámara de Diputados
27,0.3979,0.7942,Cámara de Diputados
1,0.0217,0.8999,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.8658,Cámara de Diputados
1,0,0.77,Cámara de Diputados
1,0.5,0.8717,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.7392,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.2357,0.88,Cámara de Diputados
9,0.9062,0.8227,Cámara de Diputados
1,0,0.9627,Cámara de Diputados
6,0.1105,0.8238,Cámara de Diputados
1,0,1,Cámara de Diputados
4,0.3345,0.9276,Cámara de Diputados
1,0,0.9096,Cámara de Diputados
2,0,0.9634,Cámara de Diputados
1,0,1,Cámara de Diputados
5,0.1404,0.9683,Cámara de Diputados
1,0,0.9444,Cámara de Diputados
2,0.3992,0.7527,Cámara de Diputados
11,0.0021,0.8963,Cámara de Diputados
125,0.537,0.6472,Cámara de Diputados
11,0.2367,0.8357,Cámara de Diputados
1,0,0.96,Cámara de Diputados
11,0.1073,0.8324,Cámara de Diputados
2,0,0.969,Cámara de Diputados
3,0,0.9165,Cámara de Diputados
1,0.1875,0.7929,Cámara de Diputados
3,0,0.917,Cámara de Diputados
1,0,0.6918,Cámara de Diputados
2,0,0.8763,Cámara de Diputados
2,0.1447,0.7828,Cámara de Diputados
3,0.5045,0.853,Cámara de Diputados
2,0.1173,0.8212,Cámara de Diputados
22,0.4379,0.7619,Cámara de Diputados
1,0,0.962,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.8505,Cámara de Diputados
1,0,0.8154,Cámara de Diputados
1,0,0.8238,Cámara de Diputados
1,0,0.8946,Cámara de Diputados
2,0,0.96,Cámara de Diputados
